Original,Prediction,Simplified sentences
"aside from this , cameron has often worked in christian-themed productions , among them the post-rapture films left behind : the movie , left behind ii : tribulation force , and left behind : world at war , in which he plays cameron "" buck "" williams . <eos>",the hubble is often all in the united states in the united states . <eos>,"aside from this , cameron usually worked in christian-themed productions , among them the post-rapture films left behind : the movie , left behind ii : tribulation force , and left behind : world at war , in which he plays cameron "" buck "" williams . <eos>"
"so far the ' celebrity ' episodes have included vic reeves , nancy sorrell , gaby roslin , scott mills , mark chapman , simon gregson , sue cleaver , carol thatcher , paul o ' grady and lee ryan . <eos>",during the ' character ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' -rrb- . <eos>,"until now the ' celebrity ' chapters have shown vic reeves , nancy sorrell , gaby roslin , scott mills , mark chapman , simon gregson , sue cleaver , carol thatcher , paul o ' grady and lee ryan . <eos>"
"the spacecraft consists of two main elements : the nasa cassini orbiter , named after the italian-french astronomer giovanni domenico cassini , and the esa huygens probe , named after the dutch astronomer , mathematician and physicist christiaan huygens . <eos>",the other of two of two to the other of two of two to the time of two . <eos>,"the spacecraft is having two main parts . one is known as nasa cassini orbiter . it is named after giovanni domenico cassini , an italian-french astronomer . the other part is known as esa huygens probe . it is named after christiaan huygens . he was a dutch astronomer , mathematician and physicist . <eos>"
"it is theoretically possible that the other editors who may have reported you , and the administrator who blocked you , are part of a conspiracy against someone half a world away they 've never met in person . <eos>",it is located to the other kingdom . <eos>,it is possible that the other editors who may have reported you is a part of the conspiracy . similarly the administrator who blocked you may also be a part of the conspiracy . the conspiracy is against someone they have not met in prison . <eos>
"the island chain forms part of the hebrides , separated from the scottish mainland and from the inner hebrides by the stormy waters of the minch , the little minch and the sea of the hebrides . <eos>",the town is the town of the district of the district of the district of the ardeche . <eos>,"the island chain forms part of the hebrides , separated from the scottish mainland and from the inner hebrides by the stormy waters of the minch , the little minch and the sea of the hebrides . <eos>"
"one side of the armed conflicts is composed mainly of the sudanese military and the janjaweed , a sudanese militia group recruited mostly from the afro-arab abbala tribes of the northern rizeigat region in sudan . <eos>",one of the town is the capital of the town of the pliocene . <eos>,"one side of the armed conflicts is made of sudanese military and the janjaweed , a sudanese militia recruited from the afro-arab abbala tribes of the northern rizeigat region in sudan . <eos>"
"their granddaughter helene langevin-joliot is a professor of nuclear physics at the university of paris , and their grandson pierre joliot , who was named after pierre curie , is a noted biochemist . <eos>",their first of the university of the university of the university of the university of the university of the united of the university of the united of the university of the united of the united of the united of the west of the united of the west of the united of the west of the west<eos>,"their granddaughter helene langevin-joliot is a professor of nuclear physics at the university of paris , and their grandson pierre joliot , who was named after pierre curie , is a noted biochemist . <eos>"
"some towns on the eyre highway in the south-east corner of western australia , between the south australian border almost as far as caiguna , do not follow official western australian time . <eos>","some the town of western australia , between the south of western australia , between the south of western australia as well as well as well as well as well as well as well as well as well as well as well as well as well as well as well as well as well as well<eos>",there are some towns in western australia that do not follow official western australian time . <eos>
perry saturn -lrb- with terri -rrb- defeated eddie guerrero -lrb- with chyna -rrb- to win the wwf european championship -lrb- 8:10 -rrb- saturn pinned guerrero after a diving elbow drop . <eos>,he are not the world of the world . <eos>,perry saturn and terri defeated eddie guerrero and chyna to win the wwf european championship -lrb- 8:10 -rrb- saturn pinned guerrero after a diving elbow drop . <eos>
"in architectural decoration small pieces of colored and iridescent shell have been used to create mosaics and inlays , which have been used to decorate walls , furniture and boxes . <eos>","in may place , the middle of the middle of the middle of the middle . <eos>","small pieces of colored and shiny shell has been used to decorate walls , furniture and boxes . <eos>"
