Original,Prediction,Simplified sentences
"aside from this , cameron has often worked in christian-themed productions , among them the post-rapture films left behind : the movie , left behind ii : tribulation force , and left behind : world at war , in which he plays cameron `` buck '' williams . <eos>","he was a first of the canadian of the canadian , and a canadian of the canadian , and a canadian of the canadian , and a stunner of the economic , and a stunner of the 1950s of count ,<eos>","cameron has often worked in christian productions . they include left behind : the movie , left behind ii : tribulation force , and left behind : world at war . <eos>"
"the spacecraft consists of two main elements : the nasa cassini orbiter , named after the italian-french astronomer giovanni domenico cassini , and the esa huygens probe , named after the dutch astronomer , mathematician and physicist christiaan huygens . <eos>",the first of the tarn of the island of the island and the first of the island and the fourteenth and the fourteenth and the fourteenth and the budget organization . <eos>,"the spacecraft 's two main elements are the nasa cassini orbiter , named after the italian-french astronomer giovanni domenico cassini , and the esa huygens probe , named after the dutch astronomer , mathematician and physicist christiaan huygens . <eos>"
"it is theoretically possible that the other editors who may have reported you , and the administrator who blocked you , are part of a conspiracy against someone half a world away they 've never met in person . <eos>",it is the storm to the storm and other storm and other storm . it was a storm to the same to be rum . <eos>,it may be possible that others are a part of a conspiracy against you . <eos>
"so far the 'celebrity ' episodes have included vic reeves , nancy sorrell , gaby roslin , scott mills , mark chapman , simon gregson , sue cleaver , carol thatcher , paul o'grady and lee ryan . <eos>","the garden , the garden , the garden , the garden , and the fad of the undertaker , mcleod , and barley , and a feathery , and a feathery , and the feathery , and dwayne wiggins , and<eos>","the 'celebrity ' shows have included the following individuals : vic reeves , nancy sorrell , gaby roslin , scott mills , mark chapman , simon gregson , sue cleaver , carol thatcher , paul o'grady and lee ryan . <eos>"
"the island chain forms part of the hebrides , separated from the scottish mainland and from the inner hebrides by the stormy waters of the minch , the little minch and the sea of the hebrides . <eos>","the cilia of the respiratory , the anglican is the first of the area of the island . <eos>",the island chain is part of the hebrides . it is separated from the scottish mainland and from the inner hebrides . <eos>
"one side of the armed conflicts is composed mainly of the sudanese military and the janjaweed , a sudanese militia group recruited mostly from the afro-arab abbala tribes of the northern rizeigat region in sudan . <eos>","the lorry is a first of the end of the holy of the holy , the first of the holy of the united of the united . <eos>","on one side of the conflicts are the sudanese military and the janjaweed , a sudanese militia group . they are mostly recruited from the afro-arab abbala tribes . <eos>"
"the tarantula , the trickster character , spun a black cord and , attaching it to the ball , crawled away fast to the east , pulling on the cord with all his strength . <eos>","the east , the academic , the academic , and the academic to the east to the east and the east of the east . <eos>","the tarantula spun a black cord and attached it to the ball . it crawled away fast to the east , pulling on the cord . <eos>"
"their granddaughter helene langevin-joliot is a professor of nuclear physics at the university of paris , and their grandson pierre joliot , who was named after pierre curie , is a noted biochemist . <eos>","a riemann is a first of the american of the area of the graph of the graph , and a integral of the same of the mirror . <eos>",their granddaughter is a professor of nuclear physics at the university of paris and their grandson is a renowned biochemist . <eos>
"following the drummers are dancers , who often play the sogo ( a tiny drum that makes almost no sound ) and tend to have more elaborate -- even acrobatic -- choreography . <eos>",the term of the storm of the early stick of the golden and a golden of the golden and a golden of the golden and a entrance of the gps . <eos>,after the drummers are dancers with elaborate movements . they often play a tiny drum called the sogo . <eos>
"nevertheless , tagore emulated numerous styles , including craftwork from northern new ireland , haida carvings from the west coast of canada ( british columbia ) , and woodcuts by max pechstein . <eos>","sunflowers , inc. , inc. , the canadian , a canadian of the canadian , and a canadian of the canadian , and a canadian of the b , and a economic of the economic retention . <eos>","nevertheless , tagore emulated numerous styles , including craftwork from northern new ireland , haida carvings from british columbia , and woodcuts by max pechstein . <eos>"
"some towns on the eyre highway in the south-east corner of western australia , between the south australian border almost as far as caiguna , do not follow official western australian time . <eos>",the first of the first was in the first of the united of the united of the united . <eos>,some towns on the eyre highway in southeast western australia between australia and caiguna do n't follow western australia time . <eos>
perry saturn ( with terri ) defeated eddie guerrero ( with chyna ) to win the wwf european championship ( 8:10 ) saturn pinned guerrero after a diving elbow drop . <eos>,kevin chamberlain ( new york ) ( new york ) and the canadian of the canadian and new york . <eos>,perry saturn ( with terri ) defeated eddie guerrero ( with chyna ) in the wwf european championship ( 8:10 ) saturn pinned guerrero after a diving elbow drop . <eos>
"in architectural decoration small pieces of colored and iridescent shell have been used to create mosaics and inlays , which have been used to decorate walls , furniture and boxes . <eos>",in 1833 and tls and tls and tls and tls and other to be a trade and other school to be a other school . <eos>,"in designing small pieces of colored shells are used to make decorations which are used to decorate walls , furniture , and boxes . <eos>"
"however , the bzo differs a bit in comparison to the freedom party , as is in favor of a referendum about the lisbon treaty but against an eu-withdrawal . <eos>",the first was a first in the world in the world in the world . <eos>,"however , the bzo is not the same as the freedom party . <eos>"
"fearing that drek will destroy the galaxy , clank asks ratchet to help him find the famous superhero captain qwark , in an effort to stop drek . <eos>","the first storm was used to the english-born , and the first storm to the royal . <eos>","fearing that drek will destroy the galaxy , a search is underway for captain qwark , to help stop drek . <eos>"
"giardia lamblia ( synonymous with lamblia intestinalis and giardia duodenalis ) is a flagellated protozoan parasite that colonises and reproduces in the small intestine , causing giardiasis . <eos>","kevin 's volcano is a uk in the uk , and the uk of london . <eos>","giardia lamblia is a flagellated protozoan parasite that colonises and reproduces in the small intestine , causing giardiasis . <eos>"
"the story of christmas is based on the biblical accounts given in the gospel of matthew , namely - and the gospel of luke , specifically - . <eos>",the subunguis is the first of the holy of the holy of the holy . <eos>,the story of christmas is based on the gospel of matthew and luke . <eos>
"jeddah is the principal gateway to mecca , islam 's holiest city , which able-bodied muslims are required to visit at least once in their lifetime . <eos>",the storm is the storm storm to the starter and houston . <eos>,muslims are required to visit mecca once in their lifetime . <eos>
"on october 14 , 1960 , presidential candidate john f. kennedy proposed the concept of what became the peace corps on the steps of michigan union . <eos>",he was a first pole of the united of the united states . <eos>,"on october 14 , 1960 , presidential candidate john f. kennedy proposed the concept for the peace corps at the michigan union . <eos>"
"as a result , although many mosques will not enforce violations , both men and women when attending a mosque must adhere to these guidelines . <eos>",a few and a few and other features to be a other small of cuttings and other other carpet . <eos>,men and women attending a mosque must follow certain guidelines . <eos>
"it was discovered by stephen p. synnott in images from the voyager 1 space probe taken on march 5 , 1979 while orbiting around jupiter . <eos>",it was been been in the same of the same of the same of the same of 1990 . <eos>,"stephen p. synnott discovered it . he found it in images from the voyager 1 space probe taken on march 5 , 1979 while spinning around jupiter . <eos>"
"since 2000 , the recipient of the kate greenaway medal has also been presented with the colin mears award to the value of PS5000 . <eos>","the first of the first californian , the first of the first season to the united of the united . <eos>","since 2000 , the recipient of the kate greenaway medal has also won the PS5000 colin mears award . <eos>"
after graduation he returned to yerevan to teach at the local conservatory and later he was appointed artistic director of the armenian philarmonic orchestra . <eos>,after the first to the goldfields to the goldfields of the united of the dublin of hassocks . <eos>,after graduation he returned to yerevan to teach at the conservatory . later he was appointed artistic director of the armenian philarmonic orchestra . <eos>
