Original,Prediction,Simplified sentences
"aside from this , cameron has often worked in christian-themed productions , among them the post-rapture films left behind : the movie , left behind ii : tribulation force , and left behind : world at war , in which he plays cameron `` buck '' williams . <eos>","the first movie henry henry henry henry henry was `` dr. '' , and `` russia '' was `` the word '' for his football & field . <eos>","cameron has often worked in christian productions . they include left behind : the movie , left behind ii : tribulation force , and left behind : world at war . <eos>"
"the spacecraft consists of two main elements : the nasa cassini orbiter , named after the italian-french astronomer giovanni domenico cassini , and the esa huygens probe , named after the dutch astronomer , mathematician and physicist christiaan huygens . <eos>","the fifth sankt period , mccool ended the island of fame : the island established the island on the island of skardu , and other psychiatric drugs is also the number of the ottoman empire . <eos>","the spacecraft 's two main elements are the nasa cassini orbiter , named after the italian-french astronomer giovanni domenico cassini , and the esa huygens probe , named after the dutch astronomer , mathematician and physicist christiaan huygens . <eos>"
"it is theoretically possible that the other editors who may have reported you , and the administrator who blocked you , are part of a conspiracy against someone half a world away they 've never met in person . <eos>",the area may have been used by a major road . it is a more element of the second story . <eos>,it may be possible that others are a part of a conspiracy against you . <eos>
"so far the 'celebrity ' episodes have included vic reeves , nancy sorrell , gaby roslin , scott mills , mark chapman , simon gregson , sue cleaver , carol thatcher , paul o'grady and lee ryan . <eos>","the drug creates have been seen , including gothic , including bacteria , fungi , michael , and french hughes . <eos>","the 'celebrity ' shows have included the following individuals : vic reeves , nancy sorrell , gaby roslin , scott mills , mark chapman , simon gregson , sue cleaver , carol thatcher , paul o'grady and lee ryan . <eos>"
"the island chain forms part of the hebrides , separated from the scottish mainland and from the inner hebrides by the stormy waters of the minch , the little minch and the sea of the hebrides . <eos>","the armies of the east coast mountain , the area comes from the district . <eos>",the island chain is part of the hebrides . it is separated from the scottish mainland and from the inner hebrides . <eos>
"one side of the armed conflicts is composed mainly of the sudanese military and the janjaweed , a sudanese militia group recruited mostly from the afro-arab abbala tribes of the northern rizeigat region in sudan . <eos>","one of the west coast , the area of the face of the face of the region is a large line of the central bank . it was a part of the central bank . it was called a few germany<eos>","on one side of the conflicts are the sudanese military and the janjaweed , a sudanese militia group . they are mostly recruited from the afro-arab abbala tribes . <eos>"
"the tarantula , the trickster character , spun a black cord and , attaching it to the ball , crawled away fast to the east , pulling on the cord with all his strength . <eos>","the dog , the dog , and the dog makes a dam , and then sent them to the name on the top with the other members . <eos>","the tarantula spun a black cord and attached it to the ball . it crawled away fast to the east , pulling on the cord . <eos>"
"their granddaughter helene langevin-joliot is a professor of nuclear physics at the university of paris , and their grandson pierre joliot , who was named after pierre curie , is a noted biochemist . <eos>","their father is a type of true , but it was named after the lead of a university of defence time , when it was named after the word , but was called a shropshire lad . <eos>",their granddaughter is a professor of nuclear physics at the university of paris and their grandson is a renowned biochemist . <eos>
"following the drummers are dancers , who often play the sogo ( a tiny drum that makes almost no sound ) and tend to have more elaborate -- even acrobatic -- choreography . <eos>",the game are a sequel that allows with two instant protocols ( dna ) . <eos>,after the drummers are dancers with elaborate movements . they often play a tiny drum called the sogo . <eos>
"nevertheless , tagore emulated numerous styles , including craftwork from northern new ireland , haida carvings from the west coast of canada ( british columbia ) , and woodcuts by max pechstein . <eos>","louis xiii of the island ( 9th ) , from the island of bengal , bihar & arts entertainment , including the feature feature , rinca , flores , and gili motang . <eos>","nevertheless , tagore emulated numerous styles , including craftwork from northern new ireland , haida carvings from british columbia , and woodcuts by max pechstein . <eos>"
"some towns on the eyre highway in the south-east corner of western australia , between the south australian border almost as far as caiguna , do not follow official western australian time . <eos>","the team moved on the western of cape coast , the low border between the northern border of asia , and does not have been seen in the northern union . <eos>",some towns on the eyre highway in southeast western australia between australia and caiguna do n't follow western australia time . <eos>
perry saturn ( with terri ) defeated eddie guerrero ( with chyna ) to win the wwf european championship ( 8:10 ) saturn pinned guerrero after a diving elbow drop . <eos>,1.5 boosh ( 1 ) defeated the mighty boosh ( 1999 ) and atomic year ( a little more longer . <eos>,perry saturn ( with terri ) defeated eddie guerrero ( with chyna ) in the wwf european championship ( 8:10 ) saturn pinned guerrero after a diving elbow drop . <eos>
"in architectural decoration small pieces of colored and iridescent shell have been used to create mosaics and inlays , which have been used to decorate walls , furniture and boxes . <eos>","in 1984 , many have been used to be used in amateur dakota and food . <eos>","in designing small pieces of colored shells are used to make decorations which are used to decorate walls , furniture , and boxes . <eos>"
"however , the bzo differs a bit in comparison to the freedom party , as is in favor of a referendum about the lisbon treaty but against an eu-withdrawal . <eos>","the platform platform , who played a role in the netherlands . <eos>","however , the bzo is not the same as the freedom party . <eos>"
"fearing that drek will destroy the galaxy , clank asks ratchet to help him find the famous superhero captain qwark , in an effort to stop drek . <eos>","the following , the world , beauty , sailed said that the 1st system , who did not want to the cypherpunks . <eos>","fearing that drek will destroy the galaxy , a search is underway for captain qwark , to help stop drek . <eos>"
"giardia lamblia ( synonymous with lamblia intestinalis and giardia duodenalis ) is a flagellated protozoan parasite that colonises and reproduces in the small intestine , causing giardiasis . <eos>",super mario rpg : legend of the films and works is a professional adventure . <eos>,"giardia lamblia is a flagellated protozoan parasite that colonises and reproduces in the small intestine , causing giardiasis . <eos>"
"the story of christmas is based on the biblical accounts given in the gospel of matthew , namely - and the gospel of luke , specifically - . <eos>",the town of the pakistan is based on the banks of the freiberger countryside . <eos>,the story of christmas is based on the gospel of matthew and luke . <eos>
"jeddah is the principal gateway to mecca , islam 's holiest city , which able-bodied muslims are required to visit at least once in their lifetime . <eos>",the term is spoken to a lot of eight . it is located at least criminals . <eos>,muslims are required to visit mecca once in their lifetime . <eos>
"on october 14 , 1960 , presidential candidate john f. kennedy proposed the concept of what became the peace corps on the steps of michigan union . <eos>","on september 14 , september 14 , september 22 , french sudan , a fall of the republic of atauro and jaco , and oecussi-ambeno . <eos>","on october 14 , 1960 , presidential candidate john f. kennedy proposed the concept for the peace corps at the michigan union . <eos>"
"the apostolic tradition , attributed to the theologian hippolytus , attests the singing of hallel psalms with alleluia as the refrain in early christian agape feasts . <eos>","the mountain trophy took first with the german army , charles la bc , as well as the early modern seat of canada . <eos>",": the apostolic tradition , attributed to the theologian hippolytus , cites of hallel psalms with alleluia as the refrain in early christian agape feasts . <eos>"
"as a result , although many mosques will not enforce violations , both men and women when attending a mosque must adhere to these guidelines . <eos>","many , as well as many popular members , and the other mice are a trade system . <eos>",men and women attending a mosque must follow certain guidelines . <eos>
"it was discovered by stephen p. synnott in images from the voyager 1 space probe taken on march 5 , 1979 while orbiting around jupiter . <eos>","it was discovered by the early nations season from 2001 on march 28 , 1941 . <eos>",stephen p. synnott noticed it in pictures from the voyager 1 space probe . <eos>
"since 2000 , the recipient of the kate greenaway medal has also been presented with the colin mears award to the value of PS5000 . <eos>","the lack of the same time as the name of the same time , the most commonly can be seen with the growth of the growth . <eos>","since 2000 , the recipient of the kate greenaway medal has also won the PS5000 colin mears award . <eos>"
