Original,Prediction,Simplified sentences
"after the death of her husband in 1831 , she tried to find employment at the opera in stockholm , but was denied a position , as her place there had been filled by henriette widerberg , and they were concerns that her voice had ben damaged . <eos>","after the death of her districts in 1831 , she tried to find literature , as her place there had been filled by the opera in europe , but was the position , as her place there had the whole of the united<eos>","after that , she tried to get work in the opera in sweden again , but her place there was occupied by a new singer , henriette widerberg . <eos>"
"computers using vacuum tubes as their electronic elements were in use throughout the 1950s , but by the 1960s had been largely replaced by transistor-based machines , which were smaller , faster , cheaper to produce , required less power , and were more reliable . <eos>","computers using by the 1960s had been largely replaced by bombardier machines , which were smaller , catherine , and were more patrie . <eos>","computers that used vacuum tubes as their electronic elements were in use throughout the 1950s . vacuum tube electronics were largely replaced in the 1960s by transistor-based electronics , which are smaller , faster and cheaper to produce . <eos>"
"here , simulations of evolution using evolutionary algorithms and artificial life started with the work of nils aall barricelli in the 1960s , and was extended by alex fraser , who published a series of papers on simulation of artificial selection . <eos>","the work of the work of the work of the work of tv dynasty through in the 1960s , and was extended by the bundestag of the middle , and was extended by the bundestag of scotland selection . <eos>",the work of nils aall barricelli in these fields started in the 1960s . he published a series of papers on the simulation of artificial selection . <eos>
"he died on 9 november 1875 , and in 1877 his widow left # 6000 to the university of sydney as a memorial of him , which was used to found the william hilton hovell lectureship on geology and physical geography . <eos>","he died on 9 november your , and in 1877 his form as a memorial of him , which was used to found the real title tag center center the real title hour center center the real title hour center . <eos>","in 1877 his widow left # 6000 to the university of sydney as a memorial of him , which was used to start the william hilton hovell lectureship on geology and physical geography . <eos>"
"it worked out for both parties involved , however , as the show did better in the ratings than it had on thursdays , while upn received much better ratings on fridays than it did before , with its movie night . <eos>","it worked out for both parties involved , however , as the show did better in the cretaceous than it had on your , while johnny received much . <eos>","however , it worked out for both parties involved , as the show did better in the ratings than it had on thursdays , while upn got much better ratings on fridays than it did before , with its movie night . <eos>"
"for example , a shop might give away its stock in its promotion , but producing these goods would still have required the use of scarce resources , so this would not be a free good in an economic sense . <eos>","for example , a single character , a single character in an economic sense . <eos>","for example , a shop might give away its stock in its promotion , but for the production of these goods , resources were needed , so this would not be a free good in an economic sense . <eos>"
"it is therefore pointless to email our contact addresses asking for permission to reproduce articles or images , even if rules at your company or school or organization mandate that you ask web site operators before copying their content . <eos>","it is a next of the articles or entire to the total of the same of the united entry or even , even if the middle of the united kingdom . <eos>","it is therefore useless to email our contact addresses asking for permission to reproduce articles or images , even if the rules of operation of your company or school mandate that you ask web site operators before copying their content . <eos>"
"another , more romantic legend tells a story of a tatar princess soyembika , who dropped a golden dish -lrb- golden qazan -rrb- in to the river on which the city is located while washing it . <eos>","another , more once a story of a companion princess silva , who worked a golden dish -lrb- golden mm -rrb- in to the river on which the city is located while the city is located while the city is located while the<eos>","another , a more romantic legend tells a story of a tatar princess soyembika , who dropped a golden dish -lrb- golden qazan -rrb- in to the river on which the city is located while washing it . <eos>"
"during the war , iraq used chemical weapons against iranian forces fighting on the southern front and kurdish separatists who were attempting to open up a northern front in iraq with the help of iran . <eos>","during the war , iraq used chemical 10 against the war , iraq used chemical 10 against power forces . <eos>","during the war , iraq used chemical weapons against iranian forces and kurdish separatists . <eos>"
"the penetrating partner stands , and the receiving partner wraps their arms around his neck , and their legs around his waist , thereby exposing either the vagina or anus to the man 's penis . <eos>","the penetrating partner began , and the receiving partner weakening their arms around his hearing , and their legs around his sierra , allowing must the man 's rest . <eos>",the receiving partner sits on top and wraps their legs around the penetrating partner . <eos>
"by the late 1970s , many products such as video recorders contained dedicated computers called microcontrollers , and they started to appear as a replacement to mechanical controls in domestic appliances such as washing machines . <eos>","by the late 1970s , many products such as video jacques contained , many products such as a album to mechanical . <eos>","by the 1980s , computers became small and cheap enough to replace simple mechanical controls in domestic appliances such as washing machines . <eos>"
"of course , all theories , including those called scientific laws , can always be replaced by more accurate , generalized statements if a disagreement of theory with observed data is ever found . <eos>","of the course , all cover , including those called scientific heat , can always be replaced by more accurate , animated were more accurate , animated were more accurate , cressida off if a tantrum of theory with equal data is ever<eos>","of course , all theories , including those known as laws , can be replaced by more accurate and more general laws , when a disagreement with data is found . <eos>"
"it is the fifth largest country by geographical area , occupying nearly half of south america , the fifth most populous country , and the fourth most populous democracy in the world . <eos>","it is the fifth largest country by chinese area , from the fourth most character football , and the fourth most character player in the world . <eos>",the country is the fifth largest in the world by area . <eos>
"the third form of rock material found on earth is metamorphic rock , which is created from the transformation of pre-existing rock types through high pressures , high temperatures , or both . <eos>","the third form of rock material found on earth is your rock of the idea of vaud rock of the kingdom through high pressures , high temperatures , or both . <eos>",metamorphic rock which is made when either of the other two types are changed by high or low temperatures and pressures . <eos>
"however , it was not until the threat of invasion by the forces of spain in 1585 that lieutenants were appointed to all counties and counties corporate and became in effect permanent . <eos>","however , it was not until the village of invasion by the forces of spain in 1915 that laid were the forces of spain in 1915 that di were the first system and closed tram and became in effect . <eos>",it was not until the threat of invasion by the forces of spain in 1585 that lieutenants were appointed to all counties . <eos>
"the judge ordered that chapman should receive psychiatric treatment in prison and sentenced him to twenty years to life , slightly less than the maximum possible of twenty-five years to life . <eos>","the judge strengthened that started should around the maximum possible of heat years to life , the maximum possible of heat years to life . <eos>",he was sentenced to twenty-five years to life in prison in 1981 . <eos>
